AoA_deg_Used,AoS_deg,delta_El_L,delta_Rud_R,CLL_body
30,0,-10,-20,-0.039154092
45,0,-10,-20,-0.039667679
-4,0,-20,0,-0.000373049
0,0,-20,0,-0.000152181
4,0,-20,0,-5.12E-05
8,0,-20,0,-5.56E-05
12,0,-20,0,-5.81E-05
16,0,-20,0,0.000202848
20,0,-20,0,0.00022639
30,0,-20,0,0.00052008
45,0,-20,0,0.000350554
-4,0,-20,10,0.014166449
0,0,-20,10,0.015351265
4,0,-20,10,0.017705329
8,0,-20,10,0.017647088
12,0,-20,10,0.017225456
16,0,-20,10,0.01554986
20,0,-20,10,0.017861823
30,0,-20,10,0.022231099
45,0,-20,10,0.031176886
-4,0,-20,20,0.03158651
0,0,-20,20,0.033187045
4,0,-20,20,0.035279144
8,0,-20,20,0.036039203
12,0,-20,20,0.034580114
16,0,-20,20,0.028642941
20,0,-20,20,0.029290523
30,0,-20,20,0.037259093
45,0,-20,20,0.046099262
-4,0,-20,-10,-0.014054513
0,0,-20,-10,-0.015422139
4,0,-20,-10,-0.017542644
8,0,-20,-10,-0.017501223
12,0,-20,-10,-0.016593245
16,0,-20,-10,-0.01620706
20,0,-20,-10,-0.017458908
30,0,-20,-10,-0.021779261
45,0,-20,-10,-0.029818889
-4,0,-20,-20,-0.033362288
0,0,-20,-20,-0.033011236
4,0,-20,-20,-0.034864091
8,0,-20,-20,-0.035315671
12,0,-20,-20,-0.033413556
16,0,-20,-20,-0.029484227
20,0,-20,-20,-0.029203526
30,0,-20,-20,-0.039417099
45,0,-20,-20,-0.046269375
-4,-10,0,0,0.001895489
0,-10,0,0,0.017998607
4,-10,0,0,0.036235089
8,-10,0,0,0.056998093
12,-10,0,0,0.078782905
16,-10,0,0,0.092598416
20,-10,0,0,0.113104592
30,-10,0,0,0.022412279
45,-10,0,0,0.049134432
-4,-10,0,10,0.01500889
0,-10,0,10,0.030989591
4,-10,0,10,0.049548226
8,-10,0,10,0.071148104
12,-10,0,10,0.08992621
16,-10,0,10,0.104298214
20,-10,0,10,0.121786632
30,-10,0,10,0.030596129
45,-10,0,10,0.050678876
-4,-10,0,20,0.024094193
0,-10,0,20,0.040376153
