AoA_deg_Used,AoS_deg,delta_El_L,delta_Rud_R,CLM_body
-4,0,-20,0,0.222352958
0,0,-20,0,0.169650624
4,0,-20,0,0.120177165
8,0,-20,0,0.095361564
12,0,-20,0,0.118402217
16,0,-20,0,0.138880416
20,0,-20,0,0.156786927
30,0,-20,0,0.203481366
45,0,-20,0,0.265411195
-4,0,-20,10,0.214944558
0,0,-20,10,0.167614462
4,0,-20,10,0.116557619
8,0,-20,10,0.094986902
12,0,-20,10,0.103760947
16,0,-20,10,0.119259528
20,0,-20,10,0.138625118
30,0,-20,10,0.118518479
45,0,-20,10,0.226360376
-4,0,-20,20,0.232666988
0,0,-20,20,0.1729275
4,0,-20,20,0.120145933
8,0,-20,20,0.103557274
12,0,-20,20,0.116055535
16,0,-20,20,0.120020536
20,0,-20,20,0.133242675
30,0,-20,20,0.081602922
45,0,-20,20,0.206774352
-4,0,-20,-10,0.215404954
0,0,-20,-10,0.164978698
4,0,-20,-10,0.116090002
8,0,-20,-10,0.094126127
12,0,-20,-10,0.104201241
16,0,-20,-10,0.121470632
20,0,-20,-10,0.137238051
30,0,-20,-10,0.127927539
45,0,-20,-10,0.228235765
-4,0,-20,-20,0.230181247
0,0,-20,-20,0.174788834
4,0,-20,-20,0.121764634
8,0,-20,-20,0.104160131
12,0,-20,-20,0.114446751
16,0,-20,-20,0.119667035
20,0,-20,-20,0.133868712
30,0,-20,-20,0.082032417
45,0,-20,-20,0.208019458
-4,-10,0,0,0.094523547
0,-10,0,0,0.055304053
4,-10,0,0,0.013687434
8,-10,0,0,-0.018895801
12,-10,0,0,-0.033033847
16,-10,0,0,-0.027407995
20,-10,0,0,-0.04565399
30,-10,0,0,-0.044086476
45,-10,0,0,-0.027946058
-4,-10,0,10,0.107270346
0,-10,0,10,0.05893857
4,-10,0,10,0.012126111
8,-10,0,10,-0.015948
12,-10,0,10,-0.019149338
16,-10,0,10,-0.015109097
20,-10,0,10,-0.037654014
30,-10,0,10,-0.052971001
45,-10,0,10,-0.031430068
-4,-10,0,20,0.109078713
0,-10,0,20,0.063501328
4,-10,0,20,0.018588786
8,-10,0,20,-0.005874603
12,-10,0,20,-0.01922079
16,-10,0,20,-0.023276871
20,-10,0,20,-0.04030102
30,-10,0,20,-0.092556817
45,-10,0,20,-0.042460185
-4,-10,0,-10,0.090935046
0,-10,0,-10,0.05202937
4,-10,0,-10,0.014039975
8,-10,0,-10,-0.006933707
12,-10,0,-10,-0.022828356
16,-10,0,-10,-0.029054084
20,-10,0,-10,-0.051210673
30,-10,0,-10,-0.053156974
45,-10,0,-10,-0.035136768
-4,-10,0,-20,0.079860581
0,-10,0,-20,0.043389179
4,-10,0,-20,0.012738688
8,-10,0,-20,-0.011072233
12,-10,0,-20,-0.023326284
16,-10,0,-20,-0.039749948
20,-10,0,-20,-0.060655382
30,-10,0,-20,-0.026937427
45,-10,0,-20,-0.031879206
-4,-10,10,0,0.041764507
0,-10,10,0,-0.012831616
4,-10,10,0,-0.057822449
8,-10,10,0,-0.089818439
12,-10,10,0,-0.104883164
16,-10,10,0,-0.093361253
20,-10,10,0,-0.094156063
30,-10,10,0,-0.080434913
45,-10,10,0,-0.059107143
-4,-10,10,10,0.054110121
0,-10,10,10,-0.004365032
4,-10,10,10,-0.051711815
8,-10,10,10,-0.07721306
12,-10,10,10,-0.087367185
16,-10,10,10,-0.083470125
20,-10,10,10,-0.100844571
30,-10,10,10,-0.089939851
45,-10,10,10,-0.064041603
-4,-10,10,20,0.04967873
0,-10,10,20,-0.002646304
4,-10,10,20,-0.048129981
8,-10,10,20,-0.084904425
12,-10,10,20,-0.111374942
16,-10,10,20,-0.104015741
20,-10,10,20,-0.112937314
30,-10,10,20,-0.116856598
45,-10,10,20,-0.067620627
-4,-10,10,-10,0.027385746
0,-10,10,-10,-0.016181456
4,-10,10,-10,-0.054026082
8,-10,10,-10,-0.084612386
12,-10,10,-10,-0.103726969
16,-10,10,-10,-0.115840419
20,-10,10,-10,-0.131388688
30,-10,10,-10,-0.062795432
45,-10,10,-10,-0.052159058
-4,-10,10,-20,0.025397949
0,-10,10,-20,-0.021104276
4,-10,10,-20,-0.057799951
8,-10,10,-20,-0.087210787
12,-10,10,-20,-0.106078336
16,-10,10,-20,-0.116364196
20,-10,10,-20,-0.138566842
30,-10,10,-20,-0.058627451
45,-10,10,-20,-0.056535157
-4,-10,20,0,-0.007141315
0,-10,20,0,-0.057226052
4,-10,20,0,-0.10306114
8,-10,20,0,-0.135633281
12,-10,20,0,-0.143442132
16,-10,20,0,-0.13064197
20,-10,20,0,-0.1269255
30,-10,20,0,-0.082766506
45,-10,20,0,-0.070408064
-4,-10,20,10,0.002454762
0,-10,20,10,-0.045576885
4,-10,20,10,-0.0918111
8,-10,20,10,-0.123722161
12,-10,20,10,-0.139652666
16,-10,20,10,-0.134711343
20,-10,20,10,-0.13639329
30,-10,20,10,-0.080248912
45,-10,20,10,-0.066650648
-4,-10,20,20,-0.008839136
0,-10,20,20,-0.052069884
4,-10,20,20,-0.093796042
8,-10,20,20,-0.130808026
12,-10,20,20,-0.144598027
16,-10,20,20,-0.145971083
20,-10,20,20,-0.101228887
30,-10,20,20,-0.083205513
45,-10,20,20,-0.079811781
-4,-10,20,-10,-0.023943577
0,-10,20,-10,-0.061274938
4,-10,20,-10,-0.101365652
8,-10,20,-10,-0.131095382
12,-10,20,-10,-0.150066965
16,-10,20,-10,-0.153510201
20,-10,20,-10,-0.149932716
30,-10,20,-10,-0.068603182
45,-10,20,-10,-0.062541817
-4,-10,20,-20,-0.027146456
0,-10,20,-20,-0.067429744
4,-10,20,-20,-0.106041009
8,-10,20,-20,-0.133772978
12,-10,20,-20,-0.150957475
16,-10,20,-20,-0.15968419
20,-10,20,-20,-0.167142311
30,-10,20,-20,-0.074134086
45,-10,20,-20,-0.069245185
-4,-10,-10,0,0.1697915
0,-10,-10,0,0.125136999
4,-10,-10,0,0.078276544
8,-10,-10,0,0.048801993
12,-10,-10,0,0.041215982
16,-10,-10,0,0.050961293
20,-10,-10,0,0.047519311
30,-10,-10,0,1.34E-05
45,-10,-10,0,-0.000213722
-4,-10,-10,10,0.174194705
0,-10,-10,10,0.123153478
4,-10,-10,10,0.071678857
8,-10,-10,10,0.041809594
12,-10,-10,10,0.041824607
16,-10,-10,10,0.057706248
20,-10,-10,10,0.047083883
30,-10,-10,10,0.00329717
45,-10,-10,10,0.005860198
-4,-10,-10,20,0.18817624
0,-10,-10,20,0.137649862
4,-10,-10,20,0.089123773
8,-10,-10,20,0.066531295
12,-10,-10,20,0.057809009
16,-10,-10,20,0.068081963
20,-10,-10,20,0.044908671
30,-10,-10,20,-0.012796825
45,-10,-10,20,-0.002440242
-4,-10,-10,-10,0.159612118
0,-10,-10,-10,0.12212309
4,-10,-10,-10,0.084538547
8,-10,-10,-10,0.056085148
12,-10,-10,-10,0.044102414
16,-10,-10,-10,0.035164299
20,-10,-10,-10,0.014308477
30,-10,-10,-10,-0.000628402
45,-10,-10,-10,0.008617185
-4,-10,-10,-20,0.155306159
0,-10,-10,-20,0.114350261
4,-10,-10,-20,0.078297313
8,-10,-10,-20,0.05167329
12,-10,-10,-20,0.037617999
16,-10,-10,-20,0.031557024
20,-10,-10,-20,0.012313502
30,-10,-10,-20,0.00167902
45,-10,-10,-20,0.001295811
-4,-10,-20,0,0.217299165
0,-10,-20,0,0.169646783
4,-10,-20,0,0.121205202
8,-10,-20,0,0.094381027
12,-10,-20,0,0.082329366
16,-10,-20,0,0.096178901
20,-10,-20,0,0.106065417
30,-10,-20,0,0.06338448
45,-10,-20,0,0.037209859
-4,-10,-20,10,0.223590534
